ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
16133,03/01/2022,*,*,*,*,*,*,*,*,2,3010,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76550,01/01/2022,*,*,*,*,*,*,*,*,2,1203,7,*,*,5,*,*,*,*,*,*,*,*,*,*,*
76550,02/01/2022,*,*,*,*,*,*,*,*,2,1052,8,*,*,6,*,*,*,*,*,*,*,*,*,*,*
76550,03/01/2022,*,*,*,*,*,*,*,*,2,1052,8,*,*,6,*,*,*,*,*,*,*,*,*,*,*
77062,01/01/2022,26,*,*,*,*,*,5,5,3,1776,37,*,*,37,*,*,*,*,*,*,*,*,*,*,*
77062,02/01/2022,24,*,*,*,*,*,7,7,3,1883,36,*,*,37,*,*,*,*,*,*,*,*,*,*,*
77062,03/01/2022,25,*,5,*,*,*,10,10,3,2003,38,*,*,40,*,*,*,*,*,*,*,*,*,*,*
77318,01/01/2022,27,*,*,8,*,*,*,*,3,1666,37,*,*,37,*,*,*,*,*,*,*,*,*,*,*
77318,02/01/2022,28,*,*,8,*,*,*,*,3,1677,39,*,*,39,*,*,*,*,*,*,*,*,*,*,*
77318,03/01/2022,28,*,*,8,*,*,5,5,3,1521,42,*,*,43,*,*,*,*,*,*,*,*,*,*,*
77574,01/01/2022,*,*,*,*,*,*,*,*,3,2955,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77574,02/01/2022,*,*,*,*,*,*,*,*,3,2955,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77574,03/01/2022,*,*,*,*,*,*,*,*,3,2955,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77830,01/01/2022,5,*,*,*,*,*,*,*,2,1593,6,*,*,5,*,*,*,*,*,*,*,*,*,*,*
77830,02/01/2022,*,*,*,*,*,*,*,*,2,1677,5,*,*,5,*,*,*,*,*,*,*,*,*,*,*
77830,03/01/2022,5,*,*,*,*,*,*,*,2,1593,6,*,*,5,*,*,*,*,*,*,*,*,*,*,*
78598,01/01/2022,*,*,*,*,*,*,*,*,2,2314,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78598,02/01/2022,*,*,*,*,*,*,*,*,2,2314,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78598,03/01/2022,*,*,*,*,*,*,*,*,2,2314,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79110,01/01/2022,123,8,9,*,*,*,24,24,3,2092,142,*,*,138,*,*,*,*,*,*,*,*,*,*,30
79110,02/01/2022,126,7,7,*,*,*,27,27,3,2017,145,*,*,138,*,*,*,*,*,*,*,*,*,*,32
79110,03/01/2022,124,7,7,*,*,*,31,31,3,1946,147,*,*,141,*,*,*,*,*,*,*,*,*,*,31
75783,01/01/2022,12,*,*,*,*,*,*,*,3,2007,15,*,*,16,*,*,*,*,*,*,*,*,*,*,*
75783,02/01/2022,12,*,*,*,*,*,*,*,3,2378,15,*,*,16,*,*,*,*,*,*,*,*,*,*,*
75783,03/01/2022,11,*,*,*,*,*,*,*,3,2200,15,*,*,15,*,*,*,*,*,*,*,*,*,*,*
76039,01/01/2022,57,*,*,*,*,*,*,*,3,2551,69,6,*,70,*,*,*,*,*,*,*,*,*,*,*
76039,02/01/2022,57,*,*,*,*,*,*,*,3,2561,70,6,*,71,*,*,*,*,*,*,*,*,*,*,*
76039,03/01/2022,60,*,*,*,*,*,*,*,3,2649,73,6,*,74,*,*,*,*,*,*,*,*,*,*,*
77063,01/01/2022,79,*,5,*,*,*,9,9,3,1619,98,*,*,96,5,*,*,*,*,*,*,*,*,*,*
77063,02/01/2022,83,*,6,*,*,*,12,12,3,1619,103,*,*,104,5,*,*,*,*,*,*,*,*,*,*
77063,03/01/2022,79,6,6,5,*,*,18,18,3,1537,109,*,*,108,6,*,*,*,*,*,*,*,*,*,*
77319,01/01/2022,*,*,*,*,*,*,*,*,3,1153,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77319,02/01/2022,*,*,*,*,*,*,*,*,3,1153,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77319,03/01/2022,*,*,*,*,*,*,*,*,3,1153,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77575,01/01/2022,14,*,*,*,*,*,*,*,3,1848,21,*,*,21,*,*,*,*,*,*,*,*,*,*,*
77575,02/01/2022,15,*,*,*,*,*,*,*,3,2002,21,*,*,21,*,*,*,*,*,*,*,*,*,*,*
77575,03/01/2022,15,*,*,*,*,*,*,*,3,1791,24,*,*,24,*,*,*,*,*,*,*,*,*,*,*
77831,01/01/2022,*,*,*,*,*,*,*,*,3,1580,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77831,02/01/2022,*,*,*,*,*,*,*,*,3,1672,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77831,03/01/2022,*,*,*,*,*,*,*,*,3,1254,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78343,01/01/2022,9,*,*,*,*,*,*,*,4,2383,9,*,*,9,*,*,*,*,*,*,*,*,*,*,*
78343,02/01/2022,9,*,*,*,*,*,*,*,4,2383,9,*,*,9,*,*,*,*,*,*,*,*,*,*,*
78343,03/01/2022,9,*,*,*,*,*,*,*,4,2389,9,*,*,9,*,*,*,*,*,*,*,*,*,*,*
78599,01/01/2022,161,*,7,*,*,*,11,11,4,2180,159,*,*,174,11,*,*,*,*,*,*,*,*,*,*
78599,02/01/2022,160,*,7,*,*,*,18,18,4,2091,163,*,*,180,11,*,*,*,*,*,*,*,*,*,*
78599,03/01/2022,157,*,5,*,*,*,26,26,4,2002,165,*,*,183,11,*,*,*,*,*,*,*,*,*,*
79111,01/01/2022,11,*,*,*,*,*,*,*,3,1898,13,*,*,10,*,*,*,*,*,*,*,*,*,*,*
79111,02/01/2022,11,*,*,*,*,*,*,*,3,2020,13,*,*,10,*,*,*,*,*,*,*,*,*,*,*
79111,03/01/2022,13,*,*,*,*,*,*,*,4,1981,14,*,*,10,*,*,*,*,*,*,*,*,*,*,5
79367,01/01/2022,*,*,*,*,*,*,*,*,5,4220,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79367,02/01/2022,*,*,*,*,*,*,*,*,5,4220,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79367,03/01/2022,*,*,*,*,*,*,*,*,4,3909,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75784,01/01/2022,*,*,*,*,*,*,*,*,3,2172,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75784,02/01/2022,*,*,*,*,*,*,*,*,3,2172,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75784,03/01/2022,*,*,*,*,*,*,*,*,3,2407,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76040,01/01/2022,81,*,*,*,*,*,*,*,3,2447,89,6,*,91,*,*,*,*,*,*,*,*,*,*,*
76040,02/01/2022,83,*,*,*,*,*,*,*,3,2449,92,7,*,95,*,*,*,*,*,*,*,*,*,*,*
76040,03/01/2022,81,*,*,*,*,*,*,*,3,2509,89,6,*,92,*,*,*,*,*,*,*,*,*,*,*
77064,01/01/2022,102,9,5,*,*,*,5,5,3,2133,123,6,*,125,*,*,*,*,*,*,*,*,*,*,*
77064,02/01/2022,98,10,5,*,*,*,6,6,3,2105,121,6,*,123,*,*,*,*,*,*,*,*,*,*,*
77064,03/01/2022,98,11,*,*,*,*,12,12,3,2016,127,7,*,127,*,*,*,*,*,*,*,*,*,*,*
77320,01/01/2022,48,*,*,5,*,*,*,*,3,2101,58,*,*,58,*,*,*,*,*,*,*,*,*,*,*
77320,02/01/2022,50,*,*,5,*,*,5,5,3,2024,62,*,*,62,*,*,*,*,*,*,*,*,*,*,*
77320,03/01/2022,49,*,*,5,*,*,8,8,3,1986,64,*,*,64,*,*,*,*,*,*,*,*,*,*,*
78344,01/01/2022,*,*,*,*,*,*,*,*,4,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78344,02/01/2022,*,*,*,*,*,*,*,*,4,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78344,03/01/2022,*,*,*,*,*,*,*,*,4,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75785,01/01/2022,20,*,*,*,*,*,*,*,3,2094,22,*,*,24,*,*,*,*,*,*,*,*,*,*,*
75785,02/01/2022,18,*,*,*,*,*,*,*,3,2032,20,*,*,22,*,*,*,*,*,*,*,*,*,*,*
75785,03/01/2022,19,*,*,*,*,*,*,*,3,2105,20,*,*,22,*,*,*,*,*,*,*,*,*,*,*
76041,02/01/2022,*,*,*,*,*,*,*,*,2,1300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76041,03/01/2022,*,*,*,*,*,*,*,*,2,1300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77065,01/01/2022,157,16,6,*,*,*,7,7,3,2090,183,*,*,186,*,*,*,*,*,*,*,*,*,*,*
77065,02/01/2022,156,17,6,*,*,*,9,9,3,2177,185,*,*,188,*,*,*,*,*,*,*,*,*,*,*
77065,03/01/2022,152,15,5,*,*,*,15,15,3,2113,186,*,*,189,*,*,*,*,*,*,*,*,*,*,*
77577,01/01/2022,*,*,*,*,*,*,*,*,3,1449,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
